id,category,japanese-name,english-name,lat,lon,link,linkname,numphotos
1,1,芦ノ湖,,35.21163377261008,139.00268985920889,,,
2,1,チルノ博物館,,35.36833938849423,139.2435274837786,,,
3,1,横浜中華街,,35.44345528857387,139.64608649116064,,,
4,1,鎌倉駅旧駅舎時計台,,35.31934785974167,139.5500299977711,,,
5,1,外交官の家,,35.436630686475034,139.64334202361448,,,
6,4,南沢ホタルのせせらぎ公園,,35.174919083785284,138.5362687151554,,,
7,4,妙泉寺,,35.25726028015555,138.55119253670398,,,
8,4,うさぎの隠れ家,,34.95074921224162,138.25150766316,,,
9,4,澤野医院記念館,,34.74673267624568,137.91551976364389,,,
10,4,富士山かぐや姫ミュージアム,,35.185441923513785,138.68006910393305,,,
11,4,竹採公園,,35.17035194533664,138.71652078166187,,,
12,4,富士山本宮浅間大社,,35.227447741038,138.6100413524343,,,
13,4,月,,34.89968216163951,137.81251222793125,,,,
14,4,赤尾渋垂郡辺神社,,34.740577911620704,137.93728323435,,,
15,4,ディスカバリーパーク焼津天文科学館,,34.822782225365515,138.33158032279624,,
16,4,朝霧高原,,35.42301651628275,138.59237930196198,,,
17,4,三輪神社（神神社）,,34.89896123857545,138.2965935574595,,,
18,4,竹取物語弁当,,35.1421102156624,138.66238540769046,,,
